"filename", "language", "XML", "JSON with Comments", "JSON", "TypeScript", "Properties", "TypeScript JSX", "Markdown", "CSS", "JavaScript", "C#", "YAML", "comment", "blank", "total"
"/Users/nilson/Desktop/FinTrack/api/Migrations/20240701040205_PortfolioPriceAndDateColumnsandStockNewWebsiteColumn.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 318, 0, 2, 111, 431
"/Users/nilson/Desktop/FinTrack/api/Migrations/20240701040205_PortfolioPriceAndDateColumnsandStockNewWebsiteColumn.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 3, 15, 93
"/Users/nilson/Desktop/FinTrack/api/Migrations/20240701055245_ModifyPortfolioTable_ModifyStockTableRemovingPurchaseAndLastDiv.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 316, 0, 2, 110, 428
"/Users/nilson/Desktop/FinTrack/api/Migrations/20240701055245_ModifyPortfolioTable_ModifyStockTableRemovingPurchaseAndLastDiv.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 3, 15, 92
"/Users/nilson/Desktop/FinTrack/api/Migrations/20240704032359_AddSStockPriceTable.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 316, 0, 2, 110, 428
"/Users/nilson/Desktop/FinTrack/api/Migrations/20240704032359_AddSStockPriceTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 3, 9, 59
"/Users/nilson/Desktop/FinTrack/api/Migrations/20240704032604_AddSStockPriceTableUpdate.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 344, 0, 2, 121, 467
"/Users/nilson/Desktop/FinTrack/api/Migrations/20240704032604_AddSStockPriceTableUpdate.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 3, 12, 91
"/Users/nilson/Desktop/FinTrack/api/Migrations/20240706041254_ResetAndRessedDatabase.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 344, 0, 2, 121, 467
"/Users/nilson/Desktop/FinTrack/api/Migrations/20240706041254_ResetAndRessedDatabase.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 3, 10, 66
"/Users/nilson/Desktop/FinTrack/api/Migrations/20240707034205_PortfolioModelCheck.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 344, 0, 2, 121, 467
"/Users/nilson/Desktop/FinTrack/api/Migrations/20240707034205_PortfolioModelCheck.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 3, 9, 59
"/Users/nilson/Desktop/FinTrack/api/Migrations/ApplicationDbContextModelSnapshot.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 342, 0, 1, 121, 464
"/Users/nilson/Desktop/FinTrack/api/Models/AppUser.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"/Users/nilson/Desktop/FinTrack/api/Models/Comment.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Users/nilson/Desktop/FinTrack/api/Models/Portfolio.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"/Users/nilson/Desktop/FinTrack/api/Models/Stock.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"/Users/nilson/Desktop/FinTrack/api/Models/StockPrice.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"/Users/nilson/Desktop/FinTrack/api/Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 2, 22, 162
"/Users/nilson/Desktop/FinTrack/api/Properties/launchSettings.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"/Users/nilson/Desktop/FinTrack/api/Services/CommentService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 16, 74
"/Users/nilson/Desktop/FinTrack/api/Services/FmpService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 8, 63
"/Users/nilson/Desktop/FinTrack/api/Services/PortfolioService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 14, 102
"/Users/nilson/Desktop/FinTrack/api/Services/StockPriceService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 4, 55
"/Users/nilson/Desktop/FinTrack/api/Services/StockService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 25, 111
"/Users/nilson/Desktop/FinTrack/api/Services/TokenService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 8, 46
